Emoji 16.0
🫨	Shaking Face
🩵	Light Blue Heart
🩶	Grey Heart
🩷	Pink Heart
🫸	Rightwards Pushing Hand
🫷	Leftwards Pushing Hand
🫎	Moose
🫏	Donkey
🪽	Wing
🪿	Goose
🪼	Jellyfish
🫚	Ginger
🪻	Hyacinth
🫛	Pea Pod
🪭	Folding Hand Fan
🪮	Hair Pick
🪇	Maracas
🪈	Flute
🪯	Khanda
🛜	Wireless
🐦‍⬛	Black Bird
🫸🏻	Rightwards Pushing Hand: Light Skin Tone
🫸🏼	Rightwards Pushing Hand: Medium-Light Skin Tone
🫸🏽	Rightwards Pushing Hand: Medium Skin Tone
🫸🏾	Rightwards Pushing Hand: Medium-Dark Skin Tone
🫸🏿	Rightwards Pushing Hand: Dark Skin Tone
🫷🏻	Leftwards Pushing Hand: Light Skin Tone
🫷🏼	Leftwards Pushing Hand: Medium-Light Skin Tone
🫷🏽	Leftwards Pushing Hand: Medium Skin Tone
🫷🏾	Leftwards Pushing Hand: Medium-Dark Skin Tone
🫷🏿	Leftwards Pushing Hand: Dark Skin Tone
Unicode	Emoji 14.0 Data Files
Unicode	Emoji 14.0 Chart with recommended CLDR Keywords
😶‍🌫️	Face in Clouds
😮‍💨	Face Exhaling
😵‍💫	Face with Spiral Eyes
❤️‍🔥	Heart on Fire
❤️‍🩹	Mending Heart
🧔‍♂️	Man: Beard
🧔🏻‍♂️	Man: Light Skin Tone, Beard
🧔🏼‍♂️	Man: Medium-Light Skin Tone, Beard
🧔🏽‍♂️	Man: Medium Skin Tone, Beard
🧔🏾‍♂️	Man: Medium-Dark Skin Tone, Beard
🧔🏿‍♂️	Man: Dark Skin Tone, Beard
🧔‍♀️	Woman: Beard
🧔🏻‍♀️	Woman: Light Skin Tone, Beard
🧔🏼‍♀️	Woman: Medium-Light Skin Tone, Beard
🧔🏽‍♀️	Woman: Medium Skin Tone, Beard
🧔🏾‍♀️	Woman: Medium-Dark Skin Tone, Beard
🧔🏿‍♀️	Woman: Dark Skin Tone, Beard
💏🏻	Kiss: Light Skin Tone
💏🏼	Kiss: Medium-Light Skin Tone
💏🏽	Kiss: Medium Skin Tone
💏🏾	Kiss: Medium-Dark Skin Tone
💏🏿	Kiss: Dark Skin Tone
🧑🏻‍❤️‍💋‍🧑🏼	Kiss: Person, Person, Light Skin Tone, Medium-Light Skin Tone
🧑🏻‍❤️‍💋‍🧑🏽	Kiss: Person, Person, Light Skin Tone, Medium Skin Tone
🧑🏻‍❤️‍💋‍🧑🏾	Kiss: Person, Person, Light Skin Tone, Medium-Dark Skin Tone
🧑🏻‍❤️‍💋‍🧑🏿	Kiss: Person, Person, Light Skin Tone, Dark Skin Tone
